username,handle,postDate,content,retweets,likes
ًn,@widoboiz,2020-11-29T23:57:38.000Z,"Ais, fighting! You can do it!! Don't open google, book or anything before the time is running out. Don't forget to pray before exam ",,
lalak,@byfleuries,2020-11-29T23:57:21.000Z,"Ais, fighting! You can do it!! Don't open google, book or anything before the time is running out. Don't forget to pray before exam",,
Double K,@blueandwhiteu,2020-11-29T23:50:01.000Z,"Ais, fighting! You can do it!! Don't open google, book or anything before the time is running out. Don't forget to pray before exam 

goodluck sayang !!! ",,
olbrew,@olbrew,2020-11-29T22:48:54.000Z,"Also, I hate being forced to help train Google’s AI classifiers. When you try limiting Google’s reach into your personal data they punish you by giving you multiple rounds of increasingly difficult CAPTCHAs. Classy.",,
Steven H. Seggie,@Seggitorial,2020-11-29T22:25:39.000Z,My best guess: it's a protocol that the hashtag is sent to google as something that Google can't deal with and then as the sentence needs location to make sense the AI sees Turkish is the language and makes the location Turkey. Probably written by some 25 yr old to save time.,,2
Maria C,@MariaC27432521,2020-11-29T20:59:46.000Z,"@DrButtar
 you can do this a new app was released on Google Play called AIKnowledgeEnable - an AI assisted search of medical data sources on covid. The app allows physicians to comment on medical findings WITHOUT censorship.",,
‍ ‍ ‍ ‍ ‍˖ ִֶָ𔘓 ᥫ᭡RÉUTILISABLE!𓂃 ִֶָ ִֶָ,@BAISERSMORTELS,2020-11-29T20:58:39.000Z,"ㅤ

▊ ˚₊· ͟͟͞͞➳❥  ❛ Q-quoi... J'ai juste besoin de toi pour faire Google traduction, c'est pas ce que tu crois ! ❜

ㅤㅤㅤㅤ",,
sweazzy,@indra05d,2020-11-29T16:19:57.000Z,it's an AI google it but I am horny tho......,,
Justin. You won't like me.,@Yoostin,2020-11-29T15:53:37.000Z,"Matt Hancock boasted way back at the start of all this that it was no time to let data protection get in the way. The doors to patient data vaults were flung open to Google, Amazon, Microsoft with some vague notion they'd be able to use AI to decide where ventilators got sent.",,1
Serhat Bakis,@FT27X,2020-11-29T14:47:04.000Z,"RELIGION 
@BDGFT63
Time 
@cmgtf_
LIFE 
@JCXRA_
 
Sun 
@file_KSA580
 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @Google
 @IBM",1,
ukdadie（陈昕舟）,@xchen62,2020-11-29T14:33:14.000Z,"elevated to twitter board early this year is a female Chinese AI expert, ex- Google cloud chief named Li Fei-Fei. No it of course does not smell fish",,
Miguel de Deus,@miguel_de_deus,2020-11-29T12:21:52.000Z,"And manufacturing should get more spotlight on AI, since unlike healthcare or smartphones, it's hard to imagine an AI made for a single factory goal become evil or something. But no, what gives AI hype is dystopian FB/Google tech or creepy assistants like in the movie ""Her"".",,1
Schneider_Maenetja,@Tshepo_Mae,2020-11-29T11:15:06.000Z,My late grandmother worked there and she gave me her boss/priest name he was from Germany. The name is Schneider. When i Google the meaning now ai,,
Paaaaskal,@Paaaaskal,2020-11-29T10:41:55.000Z,Imagine being the person responsible for training the AI behind the google safe search API.,,2
DoujinShinji,@DoujinShinji,2020-11-29T10:38:00.000Z,"In a call with 
@KanesTheName
 and we were trying to put to rest the difference between Hank Green and John Green. “Which one is the science fuck?” I asked. Jokingly, Kane asked his phone’s AI “okay Google, which one is the science fuck?” It immediately took him to a Scishow video",,3
SamsodTech,@OAbdmuizz,2020-11-29T10:30:53.000Z,"I actually dont like studio from day one
Get a google pixel phone and know the real meaning of an AI image",,
Abhishek Singhania,@TradeNinvesting,2020-11-29T09:24:55.000Z,"Financial Weekly Summary-

~
@policybazaar
 to raise $100 Mn 
~
@Fintech
 startup Cashfree raise $35Mn 
~
@Google
 may buy 
@sharechatapp
 
for $1Bn 
~
@SonuSood
 app raise ₹ 250 Cr

#finance #AI #stocks #StockMarket #AUSvsIND",1,3
oh.eth,@ParodyMusk,2020-11-29T08:59:32.000Z,"The consequences being better technology and AI? 

I'm in. 

No different than Tesla cars capturing video and camera footage to train the system. 

I'm just a number to google, doesn't matter to me.",,2
@NireBryce@hachyderm.io / CoHost.org/NireBryce,@NireBryce@hachyderm.io / CoHost.org/NireBryce,2020-11-29T08:46:27.000Z,google and apple's AI tendrils touch everything,,
Rogers Kamunye,@lecnush,2020-11-29T07:22:08.000Z,Enable international transaction on your credit card only when you are travelling abroad. Disable international transaction option on your card upon return to your country.  #BigData #Python #RStats #JavaScript #ReactJS #AI #DevOps #cybersecurity #Google #Linux #cybercrime #LEC,13,5
Sid,@Get_sidd,2020-11-29T07:06:28.000Z,"Digital marketing has made rapid inroads during the pandemic with businesses leveraging AI to bring in greater personalisation and tools such as video advertising, voice search and Google ads to retain competitive advantage.
#mktg2301 #2020mktg",1,
Flâneur,@patterned_chaos,2020-11-29T05:55:01.000Z,I've read that book that's why I made the comment on his understanding of Artificial Intelligence. Narrow AIs are here and with deep learning the systems are becoming more and more generalized. Pl just search how many variables google considers to provide a simple search result.,,1
Thomas Mann,@tomalatski,2020-11-29T00:01:57.000Z," Google are still working on it.  After 3 hours their AI computer froze between two options. 
1. Delete the tweet & pretend it never happened.
2. Have pity on the pore, pour, paw, poor device that had to transmit such detritus.",1,3
Chris Wilsher,@cdwilsher,2020-11-28T23:10:55.000Z,"There's a thing called Google. You can use that to find  a Wikipedia site for WestExec Advisors where it says, ""WestExec's clients have included Google's Jigsaw; Israeli artificial-intelligence company Windward; Shield AI, a surveillance company, and ""Fortune 100 types"".",,
4til7,@4til7,2020-11-28T20:29:55.000Z,"So how does the Google News AI compare to a rat in maze? Which is smarter? After two weeks, Football still dominates, soccer has not surfaced but I now know 
@MikeTyson
 is on a diet. Even if Mike had a secret #Futbol career, the rat is winning
#ElevatorClosebuttons",,
4til7,@4til7,2020-11-28T20:20:25.000Z,"American football dominates google news. Hm... can readers help the google news AI learn what they want to read? So, I started an experiment
#GoogleNews #AI",,
cc (fujobless),@squaredsea,2020-11-28T20:14:44.000Z,"when google docs blue squiggles me....shut up ai, i know what i'm doing it's called style",,6
Sneha Jha,@TheAshenLight,2020-11-28T19:57:39.000Z,"My guess is organizers used Google Translate and the original post had China Standard Time. Since there are no standard technical terms in Hindi for things like AI, any new term might sound unnatural at first. But as a native speaker 'कृत्रिम बुद्धिमत्ता' sounds a bit off to me.",,
JvL,@JvanLogg,2020-11-28T18:56:26.000Z,"It has been answered so many times. So just for you, especially: I have gone before court. Many courts. Many times. Nobody ever disputed any of my affidavits and evidence. Ever. Try the Law Journals. There’s a case there as example. Or as some have suggested: “Google it.” Ai. ",,
Diwakar Tripathi,@pseudofunny,2020-11-28T18:39:21.000Z,"You should have taken Mukesh Ambani seriously when he said data is new oil.
Have you ever wondered when hey siri,hello google & hi alexa ! Were working they always listen to user & only respond when u call them rest of the data goes to their AI servers to improve ur ""User Exp """,6,36
Soumyo De,@wulfmansam,2020-11-28T18:26:59.000Z,"Remember, the AI is always listening.
It only verbally responds when you say OK Google / Alexa / Hey Siri",,
Ben Leibowitz,@Benleibz1967,2020-11-28T18:19:41.000Z,Google AI identified her as a man!,,
❖ J E S S⁷,@adams69apple,2020-11-28T18:05:37.000Z,"!!!! Sometimes the edges of the traffic light counts sometimes it doesn’t and it drives me craZzzzyyyyyy. Google making us train their AI, what else is new ",,1
Fendi™,@buffdandy,2020-11-28T17:56:32.000Z,"Google's stalking me.

Sending me texts like ""How was the restaurant?"" 
Can't remember having the conversation with any AI.",,1
Steven P. Venino,@spvenino33,2020-11-28T17:45:09.000Z,"6/ Indeed, AI systems can be tricked into “thinking” something false is actually true. For example, an artist pulled a wagon loaded with 99 cell phones through the streets of Berlin. This fooled Google Maps into broadcasting a traffic jam in what were, in fact, empty streets.",,
Chevy Prefect,@mardybumnn,2020-11-28T17:13:28.000Z,It helps that I work in tech so can speak confidentially on the tech bs and point out how the ai claims are impossible and if any bit were true that he could sell that part alone to Google et al for billions. How the math doesn't add up.,,
Claudia Bardales,@cbardal,2020-11-28T16:26:26.000Z,"Mmm will be the same performance with google chrome + 30 tabs open , abstract + 2 sketch files open + XD .ai/.ps open ahhh and sharing screen via zoom? ",,1
Brain & Heart Research,@JerryBeller1,2020-11-28T13:49:02.000Z,"How does social media, Google, & AI's bring out the worst in people and groups?",,
Jimena #TVTTagTeam,@ladeidiomas,2020-11-28T13:23:06.000Z,"I have 256 students, 13 groups, and ai always give quality feedback. I use 
@justmoteHQ
 for voice feedback on Google Classroom, I use rubrics (it takes me hours to get a rubric well done) and 
@PearDeck
 for instant feedback in class. #BigEdQuestion",,3
Serhat Bakis,@FT27X,2020-11-28T12:05:11.000Z,"RELIGION 
@BDGFT63
Time 
@cmgtf_
LIFE 
@JCXRA_
 
Sun 
@file_KSA580
 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @Google
 @IBM",1,
THE Internet Bampot,@inetbampot45,2020-11-28T09:00:21.000Z,That’s. Ai for you..google knows,,
Hiren Patel,@hiren5260,2020-11-28T06:30:00.000Z,In some cases AI can't beat HUMAN'S best example:- Google Maps,,2
